Nom du Physique,Codesite,Owner,Topolopgy,Region,Ville,Date,VENDOR,9/3/2026 0:00,10/3/2026 0:00,11/3/2026 0:00,12/3/2026 0:00,13/3/2026,14/3/2026,15/3/2026,Verification,RCA,ACTION PLAN,ETR,OWNER,STATUS
Maroua-Djarengol-II,EXN_143,IHS,Solar-Grid-Gen,EXTREME-NORD,Maroua,16032026,HUAWEI,18.966334755808436,18.966060358604214,18.966334755808436,18.966060358604214,18.966060358604214,18.966334755808436,18.966060358604214,"15.03.26; Expédition du matériel en cours de Ngd pour Mra, ETD=15.03.26
12.03.26; Expédition du matériel en cours de Ngd pour Mra, ETD=14.03.26
11.03.2026: Apres le remplacement du MSS8, la carte micro sD est egalement faulty. Apres verification les spares ne sont pas disponible dans les WH TELEINFRA mail en cours vers le SPM pour support

10.02.26; FME sur site et investigations en cours avec le BO TX, travaux en cours
10.03.26; FME en route pour remplacement du chassis, ETA=11H UTC; FME sur site en attente du vigile
09.03.26; Materiel recu expedition en cours de Douala vers Maroua ETD=09/03/2026
03/03/2026 Materiel recu expedition en cours de Douala vers Maroua ETD=08/03/2026 
27.02.26; Micro  SD faulty et disponible; Chassis MSS8 de PN 3DB18485GAA pas disponible, commande passée vers OCM
25/02/2026 Micro SD faulty et expédition en cours de Garoua, ETD=26.02.26
Impacted by CEXN_083_H_Maroua-Ouro-Bah (TX issue)..15.03.26; Expédition du matériel en cours de Ngd pour Mra, ETD=15.03.26
12.03.26; Expédition du matériel en cours de Ngd pour Mra, ETD=14.03.26
11.03.2026: Apres le remplacement du MSS8, la carte micro sD est egalement faulty. Apres verification les spares ne sont pas disponible dans les WH TELEINFRA mail en cours vers le SPM pour support

10.02.26; FME sur site et investigations en cours avec le BO TX, travaux en cours
10.03.26; FME en route pour remplacement du chassis, ETA=11H UTC; FME sur site en attente du vigile
09.03.26; Materiel recu expedition en cours de Douala vers Maroua ETD=09/03/2026
03/03/2026 Materiel recu expedition en cours de Douala vers Maroua ETD=08/03/2026 
27.02.26; Micro  SD faulty et disponible; Chassis MSS8 de PN 3DB18485GAA pas disponible, commande passée vers OCM
25/02/2026 Micro SD faulty et expédition en cours de Garoua, ETD=26.02.26
Impacted by CEXN_083_H_Maroua-Ouro-Bah (TX issue)", micro sD  and MSS8 Faulty,Equipment shipment ongoing from Maroua to Ngaoundéré,,GNOC,Ongoing
Ngomedzap,CTR_188,IHS,Grid-Gen,CENTRE,Ngomedzap,16032026,NOKIA,18.965346925873238,11.037517780938833,17.46889433292942,18.96523716699155,18.96523716699155,18.965456684754926,18.96523716699155,"09.03.2026: Site Ngomedzap à basculer en terrestre et prendra sa transmission sur Tiga. Finalisation du site de Tiga (Fin Mars 26). ETR  Fin Mars 26

UE relay site; New site installation ongoing, ETR=Mars 26..09.03.2026: Site Ngomedzap à basculer en terrestre et prendra sa transmission sur Tiga. Finalisation du site de Tiga (Fin Mars 26). ETR  Fin Mars 26

UE relay site; New site installation ongoing, ETR=Mars 26",Transmission unavailable pending completion of Tiga site deployment (UE relay project),"Complete Tiga site installation, migrate Ngomedzap transmission to terrestrial link via Tiga",FIN MARS,GNOC,Ongoing
Mokolo3-IHS,EXN_156,IHS,Grid-Gen,EXTREME-NORD,Maroua,16032026,NOKIA,1.580527896,1.1897073339852051,0.1366166145178648,18.96457861370142,18.96457861370142,12.439285045279197,1.580527896,14/03/2026 :  Travaux equipe projet ..14/03/2026 :  Travaux equipe projet ,Travaux Projet,Travaux Projet,,HWPJ,Ongoing
Bonamoutongo-III,LIT_718,CAMUSAT,Good Grid no GE - 8h,LITTORAL,Douala,16032026,ZTE,6.408839394950505,0.852424061,5.584477021,17.34918397930094,17.34918397930094,17.094525080636195,6.413577320010069,"INC-20260315-00011748..2026-03-15 19:11:41..Grid outage, grid only site /grid return awaited..MW Link Down..user:OCM_NOC.CAMUSAT","Grid outage, grid only",Awaiting Grid return,,CAMUSAT,Ongoing
Institute-Samba-New,CTR_868,CAMUSAT,Good Grid no GE - 8h,CENTRE,Yaounde,16032026,ZTE,16.76237641149922,19.91307828296132,16.46163707567216,17.16755132325308,17.16755132325308,15.721587815886062,14.125785141867011,"0..15/03/2026 : Point suivi par le 3PP 
14/03/2026 : Relance faite || Les perturbations de phases sont les causes de ces instabilités sur site (perte de phases, baisses de tensions, fluctuations de tensions) || Courant de sortie réduit → baisse de la tension DC. Surcharge possible des redresseurs restant → redresseurs alarmés || charge incomplète ou décharge rapide des batteries ||Le point est escaladé et suivi auprès de ENEO pour normalisation. Par ailleurs pas d’espace disponible pour poser un GE mobile.
13/03/2026 : power issue || escalade du 3 PP au niveau de Mr. Theophile
12/03/2026 : FME active : check VBPe1p du slot 6 et 8 || ETA: 13H || Power issue || point suivi par le 3PP
07/03/2026 : Grid outage, Grid only site // Grid restoration awaited.
06/03/2026 : power issue || mail send to CAMUSAT ..15/03/2026 : Point suivi par le 3PP 
14/03/2026 : Relance faite || Les perturbations de phases sont les causes de ces instabilités sur site (perte de phases, baisses de tensions, fluctuations de tensions) || Courant de sortie réduit → baisse de la tension DC. Surcharge possible des redresseurs restant → redresseurs alarmés || charge incomplète ou décharge rapide des batteries ||Le point est escaladé et suivi auprès de ENEO pour normalisation. Par ailleurs pas d’espace disponible pour poser un GE mobile.
13/03/2026 : power issue || escalade du 3 PP au niveau de Mr. Theophile
12/03/2026 : FME active : check VBPe1p du slot 6 et 8 || ETA: 13H || Power issue || point suivi par le 3PP
07/03/2026 : Grid outage, Grid only site // Grid restoration awaited.
06/03/2026 : power issue || mail send to CAMUSAT ..07/03/2026 : Grid outage, Grid only site // Grid restoration awaited.
06/03/2026 : power issue || mail send to CAMUSAT ",Power instability due to phase disturbances (phase loss and voltage fluctuations),Follow up with ENEO for grid stabilization,,CAMUSAT,Obs
Makepe-Bloc-E,LIT_613,CAMUSAT,Good Grid no GE - 8h,LITTORAL,Douala,16032026,ZTE,21.38300581283037,20.20659182574387,17.00761433948568,16.566731204889095,16.566731204889095,16.86093988725568,22.409379408648416,"14.03.26; Camusat;  Grid outage, grid only / awaited grid return escalade L4 CAMUSAT
13.03.26; Camusat;  Grid outage, grid only / awaited grid return escalade L3 CAMUSAT
13.03.26; Camusat;  Grid outage, grid only / awaited grid return escalade L2 CAMUSAT..15/03/2026 : site down..15/03/2026 : site down..09/03/2026 : need BO RAN analysis || power issue || mail sent to camusat || délestages continue dans cette zone, le site est Grid only. Chaque 4H nous procédons à la vérification de la continuité...14.03.26; Camusat;  Grid outage, grid only / awaited grid return escalade L4 CAMUSAT
13.03.26; Camusat;  Grid outage, grid only / awaited grid return escalade L3 CAMUSAT
13.03.26; Camusat;  Grid outage, grid only / awaited grid return escalade L2 CAMUSAT"," Grid outage, grid only",awaited grid return escalade L4,,CAMUSAT,Ongoing
Kumba-Nkamlikum,SUO_216,IHS,Grid-Gen,SUD-OUEST,Kumba,16032026,HUAWEI,16.75478475551575,13.643339977404304,18.188107698341614,16.20443542958163,16.20443542958163,26.283502069320782,28.403037540464442,,Impacted by Kumba-agence. Power Issue on site,Solve Power Issue on site,,IHS,Ongoing
Afanoya-II,CTR_838,CAMUSAT,Medium Grid + GE,CENTRE,Yaounde,16032026,ZTE,6.805983615,14.330064713836645,8.669109895460919e-17,15.854231424406862,15.854231424406862,3.085303871122585,8.263087649052562,0,Need Bo Ran Analysis,Awaiting BO RAN analysis,,BO RAN,Ongoing
Limbe-Ngueme,SUO_235,CAMUSAT,Medium Grid + GE,SUD-OUEST,Limbe,16032026,HUAWEI,0,2.4661540195165923,2.1727685287626812,15.606597094170192,15.606597094170192,1.9149997951167543,1.0663258287527293,0,Need Bo Ran Analysis,Awaiting BO RAN analysis,,BO RAN,Ongoing
Limbe-Coconut-Island-MTN,SUO_219,MTN sharing,,SUD-OUEST,Limbe,16032026,HUAWEI,21.648238150431137,19.062575001902488,23.066213142967527,15.526436524243543,15.526436524243543,10.94367393709499,10.876721019264878,14/03/2026 : Power issue || Mail sent to MTN..14/03/2026 : Power issue || Mail sent to MTN..INC-20260315-00003183..MW Link Down,Power Issue on site,Solve Power Issue on site,,MTN,Ongoing
